detection_id,frame_id,timestamp_s,x_mm,y_mm,z_mm,diameter_mm,flow_score,confidence,synthetic_source_id,observation_index
D001,F001,0.067,-41.66481121227012,36.85601748313545,12.52531583706452,1.4752451773112971,0.5419585924538466,0.7288474345196376,S01,0
D002,F002,0.133,-41.859375556515985,37.65213314842206,11.988239189746999,1.3317564857941135,0.6551759189945131,0.8744454354800263,S01,1
D003,F003,0.2,-41.927366232682665,39.239965327664834,12.327256539576432,1.331256602969341,0.6347500313633,0.75287821794197,S01,2
D004,F004,0.267,-41.033704668562,37.94508149791512,11.870596345518317,1.3455256364476846,0.6689016535469612,0.8091829362551838,S01,3
D005,F005,0.333,-42.47116060437942,37.61265309446295,12.372616429887344,1.4292355251491262,0.6365093044638396,0.8501574702105518,S01,4
D006,F006,0.4,-15.644187639042492,91.55294348197692,17.641430089649923,1.8348981817401697,0.8046391769030199,0.8990280604904624,S02,0
D007,F007,0.467,-18.125342203420363,91.07582787534122,17.42286314901613,1.952047423025976,0.8097301668481377,0.8580207987813636,S02,1
D008,F008,0.533,-18.732060678017564,92.25537745537339,18.08168006639851,1.917495087738321,0.8148571511179277,0.8356516884142278,S02,2
D009,F009,0.6,-17.253195080620916,92.07433697643778,18.20238357908299,1.9505030580670832,0.7217137672057734,0.7976230148549889,S02,3
D010,F010,0.667,-18.517409919722073,91.29723436693233,17.80740042414132,2.0195953048987514,0.7453667553722703,0.8877794848214036,S02,4
D011,F011,0.733,6.1488432512226145,57.63162646701565,9.113927145573504,2.2468977865087423,0.9484490631917143,0.8755343064639948,S03,0
D012,F012,0.8,7.616402420526718,57.491413028068976,9.600583116880008,2.184695654009471,0.8689725470664832,0.7406698950197563,S03,1
D013,F013,0.867,6.988602485398228,58.54687681845914,9.099698015249396,2.2552388283254214,0.9029098941465387,0.8310977783753699,S03,2
D014,F014,0.933,8.688149433364071,57.65971880630774,9.319742666290187,2.1470459247146683,0.9054778461373971,0.7932783474201169,S03,3
D015,F015,1.0,6.684576389852056,58.53566972886414,8.671418361858093,2.200999529498215,0.9392298663562364,0.851257182322096,S03,4
D016,F016,1.067,31.731923619870066,117.89166596703963,22.70369118156909,1.193622543127488,0.5125066226416788,0.7187021269303838,S04,0
D017,F017,1.133,29.545030426410158,116.90302848963837,23.279841958706406,1.127561675571195,0.5648734978384243,0.9109459808450245,S04,1
D018,F018,1.2,30.60810963183243,118.81126712531379,22.346467623993085,1.1835649953705896,0.5419991178035767,0.7962676846869605,S04,2
D019,F019,1.267,31.924338951203136,116.09994753448842,23.3040965504821,1.2190188481865822,0.5562340017721282,0.7187759501928082,S04,3
D020,F020,1.333,31.079342458485257,117.41755802002982,23.162873347948292,1.2017481716418754,0.6440711556528366,0.8032451060768883,S04,4
D021,F021,1.4,45.87415275811595,73.19720319845194,15.153997678780236,1.8087350060192349,0.8634044498365832,0.8449809741404656,S05,0
D022,F022,1.467,48.60963318034152,71.69236064024486,14.552173927075177,1.625873924687558,0.8144076078737692,0.7236319696710584,S05,1
D023,F023,1.533,47.69866604149585,72.75555503319134,13.970435593848139,1.6187536735033967,0.8425405538980077,0.8786688597526067,S05,2
D024,F024,1.6,49.196403980860964,76.20524871260807,15.290086603293197,1.620836950397451,0.7447181487707476,0.8387398023640684,S05,3
D025,F025,1.667,46.10576479515864,72.54310701380234,14.571532240658135,1.688736729086689,0.8726392092315057,0.830993399721174,S05,4
D026,F026,1.733,4.825501679257443,143.86078087189162,26.82772193870695,1.4610953672741336,0.6878486979672671,0.9437550939505918,S06,0
D027,F027,1.8,5.143301973620175,146.08101346212536,27.650493081022592,1.405204498686638,0.6513953295107051,0.7692341754824972,S06,1
D028,F028,1.867,7.341316705678681,144.09647465285317,28.58694244261544,1.427765825753038,0.7272629205149697,0.8469465676274104,S06,2
D029,F029,1.933,4.827698312576101,144.95516122125102,27.541648613199428,1.5356857761185665,0.6718006607863688,0.7342075965362925,S06,3
D030,F030,2.0,3.594268668248419,145.18984670949433,29.105363879487303,1.512799329085875,0.6852544669556047,0.8400078297721779,S06,4
